"period","anio","Y","Y_eff","E","CO2","Cstock","damage","YD","Cd","Hh","TXd","Ns","def","phi","sigma","omega","E_g","E_c","Y_g","Y_c","CO2_g","CO2_c","esc"
1,2022,87862.8050418614,87862.8050418614,182441.97,7487.25,34332.5807866212,0,76525.2629083131,74335.5541302923,54055.9593533565,11337.5421335483,2173061,2.49219083886239,2.07644144656066,0.0410390766992924,0.348482314677923,63577.8000000001,118864.17,49294.4448391306,38568.3602027308,560.840160144643,6926.40983985536,"1. Sin componente ecologico"
2,2023,90033.9243970774,90033.9243970774,186950.172214601,7672.26245646092,34517.5932430821,0,78416.2277982238,76506.6734855083,55965.513666072,11617.6965988536,2226758.06549794,2.12092755647726,2.07644144656066,0.0410390766992924,0.348482314677923,65148.8287427803,121801.34347182,50512.527089565,39521.3973075124,574.698708438114,7097.5637480228,"1. Sin componente ecologico"
3,2024,91927.267644265,91927.267644265,190881.588605627,7833.60415526908,34823.5998776318,0,80065.2599421177,78400.0167326959,57630.7568754939,11862.0077021473,2273585.05182186,1.81147906610895,2.07644144656066,0.0410390766992924,0.348482314677923,66518.8578266877,124362.730778939,51574.7661589364,40352.5014853286,586.78417428974,7246.81998097935,"1. Sin componente ecologico"
4,2025,93578.3738550121,93578.3738550121,194310.013974296,7974.3035669317,35203.5719900111,0,81503.3125607061,80051.122943443,59082.9464927569,12075.061294306,2314420.92670342,1.55184318495754,2.07644144656066,0.0410390766992924,0.348482314677923,67713.6034348621,126596.410539434,52501.1008461848,41077.2730088273,597.323408396937,7376.98015853476,"1. Sin componente ecologico"
5,2026,95018.2351813815,95018.2351813815,197299.801709669,8097.00169511828,35623.377903654,0,82757.3786754794,81490.9842698124,60349.3408984239,12260.8565059021,2350032.20148859,1.33279091455398,2.07644144656066,0.0410390766992924,0.348482314677923,68755.4915852806,128544.310124388,53308.9189518655,41709.316229516,606.514237855231,7490.48745726305,"1. Sin componente ecologico"
6,2027,96273.8785952816,96273.8785952816,199907.071736392,8204.00164972073,36058.6324886895,0,83850.9977822449,82746.6276837125,61453.7109969564,12422.8808130366,2381087.31896809,1.14711291852594,2.07644144656066,0.0410390766992924,0.348482314677923,69664.0790791834,130242.992657208,54013.3836565221,42260.4949387594,614.529179479287,7589.47247024145,"1. Sin componente ecologico"
7,2028,97368.8731992731,97368.8731992731,202180.76391588,8297.31187746533,36492.2769716504,0,84804.6977001307,83841.622287704,62416.7864093831,12564.1754991424,2408169.20040826,0.989099884575719,2.07644144656066,0.0410390766992924,0.348482314677923,70456.4205927565,131724.343323124,54627.7181417447,42741.1550575283,621.518678036356,7675.79319942898,"1. Sin componente ecologico"
8,2029,98323.7726313072,98323.7726313072,204163.556673853,8378.68386153858,36912.7242399626,0,85636.3798897967,84796.5217197381,63256.6445794416,12687.3927415106,2431786.18729693,0.854176103685348,2.07644144656066,0.0410390766992924,0.348482314677923,71147.3888025816,133016.167871271,55163.4537964043,43160.318834903,627.613930175516,7751.06993136307,"1. Sin componente ecologico"
9,2030,99156.50086757,99156.50086757,205892.66809735,8449.64499786912,37312.4414947546,0,86361.6554734845,85629.2499560009,63989.0500969252,12794.8453940855,2452381.58318668,0.738635904933506,2.07644144656066,0.0410390766992924,0.348482314677923,71749.953553778,134142.714543572,55630.6466670267,43525.8542005434,632.929347059374,7816.71565080974,"1. Sin componente ecologico"
10,2031,99882.6886651606,99882.6886651606,207400.554538254,8511.52726517118,37686.8706688185,0,86994.1382641824,86355.4377535915,64627.7506075162,12888.5504009781,2470341.97474108,0.639450658694324,2.07644144656066,0.0410390766992924,0.348482314677923,72275.4253109756,135125.129227279,56038.0662151975,43844.6224499631,637.56470192315,7873.96256324803,"1. Sin componente ecologico"
11,2032,100515.966959813,100515.966959813,208715.519836478,8565.49222690189,38033.6092818042,0,87545.700304221,86988.7160482438,65184.7348634933,12970.2666555919,2486004.48817438,0.554125153270286,2.07644144656066,0.0410390766992924,0.348482314677923,72733.6674618216,135981.852374656,56393.3599250749,44122.607034738,641.607002871995,7923.88522402989,"1. Sin componente ecologico"
12,2033,101068.222725895,101068.222725895,209862.246598273,8612.55283443232,38351.7917377022,0,88026.6947098962,87540.971814326,65670.4577590635,13041.5280159988,2499663.11729198,0.480589133230898,2.07644144656066,0.0410390766992924,0.348482314677923,73133.2814580751,136728.965140197,56703.1968507826,44365.0258751124,645.132126069949,7967.42070836238,"1. Sin componente ecologico"
13,2034,101549.822101314,101549.822101314,210862.25950203,8653.59244068991,38641.6245626277,0,88446.1500050334,88022.5711897449,66094.036574352,13103.6720962806,2511574.24191233,0.417114285897903,2.07644144656066,0.0410390766992924,0.348482314677923,73481.7682694843,137380.491232546,56973.3927981444,44576.4293031696,648.20623997636,8005.38620071355,"1. Sin componente ecologico"
14,2035,101969.804965503,101969.804965503,211734.329328077,8689.38138116818,38904.0395789697,0,88811.9395912379,88442.5540539336,66463.4221116563,13157.8653742648,2521961.44025413,0.362249920384984,2.07644144656066,0.0410390766992924,0.348482314677923,73785.6691810258,137948.660147051,57209.019490489,44760.7854750137,650.887047363483,8038.4943338047,"1. Sin componente ecologico"
15,2036,102336.054622822,102336.054622822,212494.825296322,8720.59143353851,39140.4371749407,0,89130.92953588,88808.8037112524,66785.5479362838,13205.1250869416,2531019.68561977,0.314772565558427,2.07644144656066,0.0410390766992924,0.348482314677923,74050.6885763432,138444.136719979,57414.4997676262,44921.5548551954,653.22486842856,8067.36656510995,"1. Sin componente ecologico"
