"simbolo","descripcion","valor","unidad","condicion"
"W","Productividad media del trabajo",0.0404327375264023,"millones USD por ocupado","Calibrado"
"alpha1","Propensión a consumir del ingreso disponible",0.7219,"fracción","Estimado"
"alpha2","Propensión a consumir de la riqueza",0.3681,"fracción","Calibrado"
"theta","Tasa impositiva efectiva",0.129036878894848,"fracción","Calibrado"
"G","Gasto público",13527.2509115691,"millones USD","Calibrado"
"phi","Intensidad energética, escenario de continuidad",2.07644144656066,"TJ por millón USD","Calibrado"
"phi","Intensidad energética, totalmente renovable",1.28975587832427,"TJ por millón USD","Calibrado"
"sigma","Intensidad de carbono, escenario de continuidad",0.0410390766992924,"Gg CO2 por TJ","Calibrado"
"sigma","Intensidad de carbono, totalmente renovable",0.00882132065193575,"Gg CO2 por TJ","Calibrado"
"rho","Fracción de emisiones compensada por sumideros",0.218080022778761,"fracción anual","Calibrado"
"kappa","Sensibilidad del daño al acervo de emisiones acumuladas",8.7358759291906e-07,"fracción del producto por Gg","Calibrado"
"omega","Participación renovable en la energía, 2022",0.348482314677922,"fracción","Calibrado"
"pi_g","Productividad energética, rama verde",0.775340525138186,"millones USD por TJ","Calibrado"
"pi_c","Productividad energética, rama no verde",0.324474231408261,"millones USD por TJ","Calibrado"
"sigma_g","Intensidad de carbono, rama verde",0.00882132065193575,"Gg CO2 por TJ","Calibrado"
"sigma_c","Intensidad de carbono, rama no verde",0.0582716376167466,"Gg CO2 por TJ","Calibrado"
