"t","C","Y","G","defY","defC","defG","Cr","Yr","Gr","YDr","Sr","Hr","Hr_lag"
1991,643447.16582824,881040.08200095,116234.88193283,0.0703043475530425,0.0771006012111647,0.0372097899590623,8345553.15678997,12531800.8439838,3123771.51445117,9408029.32953266,1062476.17274269,1062476.17274269,NA
1992,840775.43194008,1151917.87375807,139497.58887515,0.0841745893424993,0.0918883653095184,0.0432476687167861,9149966.14759656,13684864.788244,3225551.64276417,10459313.1454799,1309346.9978833,2371823.170626,1062476.17274269
1993,1001063.93224544,1362412.38754916,174004.32965676,0.092958688392683,0.0999142548878507,0.0511668999505987,10019230.3227311,14656105.9660605,3400720.5796083,11255385.3864522,1236155.06372107,3607978.23434707,2371823.170626
1994,1188554.57129266,1647124.68288853,219032.63559202,0.107525758678619,0.112797463545008,0.0631123017102761,10537068.2454966,15318419.5408617,3470522.06394742,11847897.4769142,1310829.23141766,4918807.46576473,3607978.23434707
1995,1477688.86622774,2079862.88693841,268857.39740508,0.130360190081948,0.137198749828396,0.0777806849302704,10770425.1538443,15954739.5998038,3456608.76663799,12498130.8331659,1727705.6793216,6646513.14508633,4918807.46576473
1996,1776110.68014598,2425725.55442445,316870.77449858,0.150012077771199,0.162098576624086,0.0909083189035234,10956978.8775189,16170201.6961875,3485608.119482,12684593.5767055,1727614.69918661,8374127.84427294,6646513.14508633
1997,2104278.70912543,2934156.5141361,370407.77309861,0.172033685776219,0.183245034103358,0.102081019977364,11483414.6497991,17055709.1821705,3628566.53647021,13427142.6457003,1943727.99590127,10317855.8401742,8374127.84427294
1998,2418579.78810762,3519453.78692976,448035.01931478,0.192691475288405,0.201647278429344,0.121112085398543,11994110.7410238,18264709.3321701,3699341.95947855,14565367.3726916,2571256.63166771,12889112.4718419,10317855.8401742
1999,2771463.99255352,4072330.20017243,541094.98992127,0.21408198152514,0.227326266504684,0.143555590446204,12191569.5672432,19022293.1008054,3769236.62979215,15253056.4710133,3061486.90377009,15950599.375612,12889112.4718419
2000,3065409.99179615,4627050.52547381,635193.45319416,0.23433402238027,0.24927514344191,0.164861494423487,12297295.0670892,19745534.5087073,3852891.51608992,15892642.9926173,3595347.92552816,19545947.3011402,15950599.375612
2001,3437422.3469674,5254084.45422469,751140.32608524,0.257113490134415,0.273105701597115,0.186747278356038,12586417.3719752,20434884.4219646,4022229.03968204,16412655.3822825,3826238.01030737,23372185.3114475,19545947.3011402
2002,4020046.76400958,5965391.25967584,876260.15503429,0.282276895110321,0.302657113313248,0.213262087304941,13282512.0810852,21133119.1571468,4108841.68915282,17024277.467994,3741765.3869088,27113950.6983563,23372185.3114475
2003,4718107.28734053,6885560.04373738,998231.68753098,0.312334403368535,0.338721846029123,0.238383848949201,13929149.6626258,22045474.2400338,4187497.14769352,17857977.0923403,3928827.42971454,31042778.1280709,27113950.6983563
