t,defY,defC,defG,wb_Y_cn
1991,0.07030434755304248,0.07710060121116472,0.037209789959062316,881040.1
1992,0.08417458934249926,0.09188836530951842,0.04324766871678611,1151917.9
1993,0.09295868839268297,0.09991425488785066,0.0511668999505987,1362412.4
1994,0.10752575867861879,0.1127974635450078,0.06311230171027611,1647124.7
1995,0.13036019008194788,0.13719874982839583,0.07778068493027039,2079862.9
1996,0.15001207777119915,0.1620985766240859,0.09090831890352341,2425725.6
1997,0.17203368577621905,0.18324503410335807,0.10208101997736406,2934156.5
1998,0.19269147528840508,0.20164727842934385,0.12111208539854305,3519453.8
1999,0.2140819815251401,0.22732626650468368,0.1435555904462036,4072330.2
2000,0.23433402238027046,0.24927514344191024,0.16486149442348733,4627050.5
2001,0.25711349013441454,0.27310570159711534,0.18674727835603785,5254084.5
2002,0.282276895110321,0.30265711331324807,0.2132620873049411,5965391.3
2003,0.3123344033685354,0.33872184602912264,0.2383838489492005,6885560.0
2004,0.3540321391718423,0.3875957253311979,0.269101816831462,8150137.8
2005,0.40010349275126283,0.44656449718562574,0.30240503928482265,9577022.2
2006,0.4520541753919613,0.5084527991871295,0.3461923161704643,11613320.0
2007,0.4995957440877975,0.5669247691204637,0.39294456872316946,13889052.9
2008,0.5566684909330722,0.6370876103626537,0.4620317292231364,16208974.7
2009,0.610672742651324,0.6487579188100557,0.5486601304586384,17626147.7
2010,0.6511532935733246,0.6790072508421943,0.6235746458131864,19802010.6
2011,0.6810622316185652,0.7076536789417978,0.6876055511296173,21623524.6
2012,0.7133012166530212,0.7292954379679266,0.7393676817302441,23752868.6
2013,0.7460432513478985,0.7564328117648196,0.782307974194226,25462954.6
2014,0.7923495621439146,0.7944076676734936,0.8299047703605126,28001327.6
2015,0.823688695919513,0.8019161557134439,0.8707855777786752,30171918.9
2016,0.8398228192034262,0.8099528475095162,0.8905810146661364,32056288.2
2017,0.86383237598349,0.8357227930424236,0.916125234098956,34343647.5
2018,0.8828205856072076,0.8567167071450447,0.9458468231772337,36099880.4
2019,0.9054846899318718,0.8766889048092722,0.970433543884339,38029383.4
2020,0.912471069157662,0.8828047170981271,0.9811654800324238,36735629.1
2021,0.9345510310444329,0.9127071725524555,0.9954150790447284,40716611.0
2022,1.0,1.0,1.0,45947436.7
2023,0.988829230669269,1.0002833844891605,1.007724468318546,47611318.1
2024,0.9940955352672894,0.9994162663166447,1.031191247386436,49819173.5
