t,M2_cn,M2_pctPIB
1991,299287.0,33.9697364512694
1992,371604.0,32.259590722568
1993,427832.0,31.4025327426556
1994,521880.0,31.6843041695629
1995,546343.0,26.2682218140436
1996,806330.0,33.2407754611651
1997,439667.768495,14.9844689093782
1998,528966.90440808,15.0298010562912
1999,688437.2342470699,16.9052409907004
2000,853911.2285540601,18.4547635378966
2001,2172271.45912092,41.3444332522806
2002,2591179.66956107,43.4368767990303
2003,3230597.72684807,46.9184456579867
2004,3966986.84083754,48.6738621871834
2005,5064907.4169244,52.8860360888001
2006,6217433.95604374,53.5370932346972
2007,7489609.99151891,53.9245551546492
2008,9174989.082556618,56.6043766022821
2009,10022868.2584161,56.8636348055571
2010,10117212.0992619,51.0918426599666
2011,10666927.8492896,49.3301996164381
2012,11726464.808221199,49.3686257676734
2013,12854453.478664301,50.4829611511945
2014,14688602.2908534,52.4568066938848
2015,15280379.4292302,50.644373928866
2016,15751944.1533223,49.1383907427008
2017,15995713.0339142,46.5754635814795
2018,16341086.1901701,45.2663166999581
2019,17001122.489930302,44.705227826361
2020,20023406.059595,54.5067732611526
2021,21779229.1567829,53.4897886191532
2022,21266301.1134577,46.2839771722406
2023,22323915.1835603,46.887832713794
2024,24810066.9570651,49.8002379687513
